,STT,Hạng mục,Xếp hạng,Username,Tổng điểmhoặc xử lý,Quà tặng,date
0,1,Toán,Nhất,erik09,"8,670",Bộ quà + thẻ 100k,01-2023
1,2,Toán,Nhì,duong612009,"7,860",Bộ quà + thẻ 50k,01-2023
2,3,Toán,Ba,FanManchesterUnited,"6,810",Bộ quà + thẻ 50k,01-2023
3,4,Toán,4,Yau2k9,"6,295",Bộ quà + thẻ 50k,01-2023
4,5,Toán,5,chiminh0,"5,925",Bộ quà + thẻ 50k,01-2023
5,6,Toán,6,ichigobankai,"5,600",Bộ quà + thẻ 50k,01-2023
6,7,Toán,7,DYNAMONSWORLD,"5,555",Bộ quà + thẻ 50k,01-2023
7,8,Toán,8,Phuongfriendly,"5,040",Bộ quà + thẻ 50k,01-2023
8,9,Toán,9,Anne15,"4,810",Bộ quà + thẻ 50k,01-2023
9,10,Toán,10,nguyenchithanh0,"4,540",Bộ quà + thẻ 50k,01-2023
10,11,Toán,11,Xiao18,"4,395",Bộ quà + thẻ 50k,01-2023
11,12,Toán,12,Hinaka,"4,340",Bộ quà + thẻ 50k,01-2023
12,13,Toán,13,Sayhi3,"4,125",Bộ quà + thẻ 50k,01-2023
13,14,Toán,14,congtrinhayp,"4,040",Bộ quà + thẻ 50k,01-2023
14,15,Toán,15,StarBby1123,"3,792",Bộ quà + thẻ 50k,01-2023
15,16,Toán,16,nhuy1382006,"3,700",Bộ quà + thẻ 50k,01-2023
16,17,Toán,17,TungLinh1338,"3,615",Bộ quà + thẻ 50k,01-2023
17,18,Toán,18,lolite8282,"3,339",Bộ quà + thẻ 50k,01-2023
18,19,Toán,19,Lonelysadness,"3,125",Bộ quà + thẻ 50k,01-2023
19,20,Toán,20,SaltSea,"2,760",Bộ quà + thẻ 50k,01-2023
20,21,Toán,21,2k10kaitokid,"2,700",Bộ quà + thẻ 50k,01-2023
21,22,Lý,Nhất,Rain102,"2,210",Bộ quà + thẻ 50k,01-2023
22,23,Lý,Nhì,vvv323,"1,300",Bộ quà + thẻ 50k,01-2023
23,24,Lý,Ba,dotrungminhnhat,"1,165",Bộ quà + thẻ 50k,01-2023
24,25,Lý,4,nguyenngocminhchau97,"1,040",Bộ quà + thẻ 50k,01-2023
25,26,Hóa,Nhất,abcxzy,"6,210",Bộ quà + thẻ 50k,01-2023
26,27,Hóa,Nhì,Hinaka,"4,935",Bộ quà + thẻ 50k,01-2023
27,28,Hóa,Ba,wally2008,"3,480",Bộ quà + thẻ 50k,01-2023
28,29,Hóa,4,Winroz,"3,450",Bộ quà + thẻ 50k,01-2023
29,30,AV,Nhất,haniezz22,"8,095",Bộ quà + thẻ 50k,01-2023
30,31,AV,Nhì,cremebrulee365,"3,710",Bộ quà + thẻ 50k,01-2023
31,32,AV,Ba,HoangMinhng,"3,445",Bộ quà + thẻ 50k,01-2023
32,33,AV,4,nguyennhi2766,"3,325",Bộ quà + thẻ 50k,01-2023
33,34,AV,5,30huongquynh,"2,820",Bộ quà + thẻ 50k,01-2023
34,35,AV,6,ruongojeseoho,"2,615",Bộ quà + thẻ 50k,01-2023
35,36,AV,7,DoTrang2k8,"2,450",Bộ quà + thẻ 50k,01-2023
36,37,AV,8,pvlinhiscute0310,"2,070",Bộ quà + thẻ 50k,01-2023
37,38,AV,9,anhngocha2007,"1,880",Bộ quà + thẻ 50k,01-2023
38,39,AV,10,RicardoTrivelaKa09,"1,815",Bộ quà + thẻ 50k,01-2023
39,40,Văn,Nhất,hungbui52718,"3,760",Bộ quà + thẻ 50k,01-2023
40,41,Văn,Nhì,anhthuminhthu04,"3,520",Bộ quà + thẻ 50k,01-2023
41,42,Văn,Ba,FreedomWriters,"2,555",Bộ quà + thẻ 50k,01-2023
42,43,Văn,4,khoanguyen045,"2,375",Bộ quà + thẻ 50k,01-2023
43,44,Văn,5,hhkmhhjm,"1,789",Bộ quà + thẻ 50k,01-2023
44,45,Sinh,Nhất,chibana,"2,705",Bộ quà + thẻ 50k,01-2023
45,-,Sử,Không ai đoạt giải,,,,01-2023
46,-,Địa,Không ai đoạt giải,,,,01-2023
47,-,GDCD,Không ai đoạt giải,,,,01-2023
48,46,Tin,Nhất,shamsiel,"4,800",Bộ quà + thẻ 50k,01-2023
49,47,Tin,Nhì,hoanganhnguyen09302,"2,230",Bộ quà + thẻ 50k,01-2023
50,48,Tin,Ba,Daoanhviet96,"1,195",Bộ quà + thẻ 50k,01-2023
51,49,Công nghệ,Nhất,holliwood,"1,175",Bộ quà + thẻ 50k,01-2023
52,50,Nhạc họa,Nhất,HangFairy,"2,830",Bộ quà + thẻ 50k,01-2023
53,51,Nhạc họa,Nhì,NaeOvO,"2,780",Bộ quà + thẻ 50k,01-2023
54,52,Nhạc họa,Ba,Uemura03,"2,637",Bộ quà + thẻ 50k,01-2023
55,-,KHTN,Không ai đoạt giải,,,,01-2023
56,-,Sử & Địa,Không ai đoạt giải,,,,01-2023
57,-,Khác,Không ai đoạt giải,,,,01-2023
58,53,BĐHH,Nhất,abcxzy,"6,910",Thẻ 50k + chứng nhận,01-2023
59,54,BĐHH,Nhì,trangnguyen8451,"4,414",Bộ quà + thẻ 50k,01-2023
60,55,BĐHH,Ba,lequangdien201,"2,878",Bộ quà + thẻ 50k,01-2023
61,56,BĐHH,4,Pngann,"2,610",Bộ quà + thẻ 50k,01-2023
62,57,BĐHH,5,Katsuki2007,"2,570",Bộ quà + thẻ 50k,01-2023
63,58,BĐHH,6,TenhYewwBoXitttt,"2,425",Bộ quà + thẻ 50k,01-2023
64,59,BĐHH,7,dinhtrantrunghieu13,"2,100",Bộ quà + thẻ 50k,01-2023
65,60,BĐHH,8,ctd0309,"1,990",Bộ quà + thẻ 50k,01-2023
66,61,BĐHH,9,toanyeuvanh,"1,980",Bộ quà + thẻ 50k,01-2023
67,62,BĐHH,10,nguyenminhkhoi524,"1,830",Bộ quà + thẻ 50k,01-2023
68,63,BĐHH,11,nguyenthuy1810,"1,770",Bộ quà + thẻ 50k,01-2023
69,64,Mod,Nhất,lamngocanh8061,"5,368",Bộ quà + thẻ 100k + chứng nhận,01-2023
70,65,Mod,Nhì,Apple347,"2,023",Bộ quà + thẻ 50k,01-2023
71,66,Mod,Ba,baotienayunpa,"1,958",Bộ quà + thẻ 50k,01-2023
72,67,Mod,4,Iruma0301,"1,943",Bộ quà + thẻ 50k,01-2023
73,68,Mod,5,pentane205,"1,843",Bộ quà + thẻ 50k,01-2023
74,69,Mod,6,brightwarrior,"1,804",Bộ quà + thẻ 50k,01-2023
75,70,Mod,7,shamsiel,"1,737",Bộ quà + thẻ 50k,01-2023
76,71,Mod,8,KhanhHuyen3103,"1,718",Bộ quà + thẻ 50k,01-2023
77,72,Mod,9,andybao2007,"1,652",Bộ quà + thẻ 50k,01-2023
78,73,Mod,10,Phuongfriendly,"1,625",Bộ quà + thẻ 50k,01-2023
79,74,Mod,11,DnggAnn,"1,483",Bộ quà + thẻ 50k,01-2023
80,75,Mod,12,vuongthanhy07,"1,427",Bộ quà + thẻ 50k,01-2023
81,76,Mod,13,anhnguyenngoc823,"1,187",Bộ quà + thẻ 50k,01-2023
82,77,Mod,14,kieuyen826,"1,083",Bộ quà + thẻ 50k,01-2023
0,1,Toán,Nhất,toanyeuvanh,"9,250",Bộ quà + thẻ 100k,05-2023
1,2,Toán,Nhì,hoanganhnguyen09302,"9,222",Bộ quà + thẻ 50k,05-2023
2,3,Toán,Ba,buivuminhhuy,"8,499",Bộ quà + thẻ 50k,05-2023
3,4,Toán,4,KNOIDAU,"8,370",Bộ quà + thẻ 50k,05-2023
